ANYO;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_CAUSA;DESC_CAUSA;COD_GENERO;DESC_GENERO;RANGO_EDAD;NUM_FALLECIDOS
2007;03;ALICANTE;009;ALCOY;01;ENFERMEDADES INFECCIOSAS INTESTINALES;M;MUJER;> 84;0
2007;03;ALICANTE;009;ALCOY;01;ENFERMEDADES INFECCIOSAS INTESTINALES;M;MUJER;0;0
2007;03;ALICANTE;009;ALCOY;01;ENFERMEDADES INFECCIOSAS INTESTINALES;M;MUJER;01 - 04;0
2007;03;ALICANTE;009;ALCOY;01;ENFERMEDADES INFECCIOSAS INTESTINALES;M;MUJER;05 - 09;0
2007;03;ALICANTE;009;ALCOY;01;ENFERMEDADES INFECCIOSAS INTESTINALES;M;MUJER;10 - 14;0
2007;03;ALICANTE;009;ALCOY;01;ENFERMEDADES INFECCIOSAS INTESTINALES;M;MUJER;15 - 19;0
2007;03;ALICANTE;009;ALCOY;01;ENFERMEDADES INFECCIOSAS INTESTINALES;M;MUJER;20 - 24;0
2007;03;ALICANTE;009;ALCOY;01;ENFERMEDADES INFECCIOSAS INTESTINALES;M;MUJER;25 - 29;0
2007;03;ALICANTE;009;ALCOY;01;ENFERMEDADES INFECCIOSAS INTESTINALES;M;MUJER;30 - 34;0
2007;03;ALICANTE;009;ALCOY;01;ENFERMEDADES INFECCIOSAS INTESTINALES;M;MUJER;35 - 39;0
2007;03;ALICANTE;009;ALCOY;01;ENFERMEDADES INFECCIOSAS INTESTINALES;M;MUJER;40 - 44;0
2007;03;ALICANTE;009;ALCOY;01;ENFERMEDADES INFECCIOSAS INTESTINALES;M;MUJER;45 - 49;0
2007;03;ALICANTE;009;ALCOY;01;ENFERMEDADES INFECCIOSAS INTESTINALES;M;MUJER;50 - 54;0
2007;03;ALICANTE;009;ALCOY;01;ENFERMEDADES INFECCIOSAS INTESTINALES;M;MUJER;55 - 59 ;0
2007;03;ALICANTE;009;ALCOY;01;ENFERMEDADES INFECCIOSAS INTESTINALES;M;MUJER;60 - 64;0
2007;03;ALICANTE;009;ALCOY;01;ENFERMEDADES INFECCIOSAS INTESTINALES;M;MUJER;65 - 69;0
2007;03;ALICANTE;009;ALCOY;01;ENFERMEDADES INFECCIOSAS INTESTINALES;M;MUJER;70 - 74;0
2007;03;ALICANTE;009;ALCOY;01;ENFERMEDADES INFECCIOSAS INTESTINALES;M;MUJER;75 - 79;0
2007;03;ALICANTE;009;ALCOY;01;ENFERMEDADES INFECCIOSAS INTESTINALES;M;MUJER;80 - 84;1
2007;03;ALICANTE;009;ALCOY;03;RESTO DE TUBERCULOSIS;M;MUJER;> 84;0
2007;03;ALICANTE;009;ALCOY;03;RESTO DE TUBERCULOSIS;M;MUJER;0;0
2007;03;ALICANTE;009;ALCOY;03;RESTO DE TUBERCULOSIS;M;MUJER;01 - 04;0
2007;03;ALICANTE;009;ALCOY;03;RESTO DE TUBERCULOSIS;M;MUJER;05 - 09;0
2007;03;ALICANTE;009;ALCOY;03;RESTO DE TUBERCULOSIS;M;MUJER;10 - 14;0
2007;03;ALICANTE;009;ALCOY;03;RESTO DE TUBERCULOSIS;M;MUJER;15 - 19;0
2007;03;ALICANTE;009;ALCOY;03;RESTO DE TUBERCULOSIS;M;MUJER;20 - 24;0
2007;03;ALICANTE;009;ALCOY;03;RESTO DE TUBERCULOSIS;M;MUJER;25 - 29;0
2007;03;ALICANTE;009;ALCOY;03;RESTO DE TUBERCULOSIS;M;MUJER;30 - 34;0
2007;03;ALICANTE;009;ALCOY;03;RESTO DE TUBERCULOSIS;M;MUJER;35 - 39;0
2007;03;ALICANTE;009;ALCOY;03;RESTO DE TUBERCULOSIS;M;MUJER;40 - 44;0
2007;03;ALICANTE;009;ALCOY;03;RESTO DE TUBERCULOSIS;M;MUJER;45 - 49;0
2007;03;ALICANTE;009;ALCOY;03;RESTO DE TUBERCULOSIS;M;MUJER;50 - 54;0
2007;03;ALICANTE;009;ALCOY;03;RESTO DE TUBERCULOSIS;M;MUJER;55 - 59 ;0
2007;03;ALICANTE;009;ALCOY;03;RESTO DE TUBERCULOSIS;M;MUJER;60 - 64;0
2007;03;ALICANTE;009;ALCOY;03;RESTO DE TUBERCULOSIS;M;MUJER;65 - 69;0
2007;03;ALICANTE;009;ALCOY;03;RESTO DE TUBERCULOSIS;M;MUJER;70 - 74;0
2007;03;ALICANTE;009;ALCOY;03;RESTO DE TUBERCULOSIS;M;MUJER;75 - 79;1
2007;03;ALICANTE;009;ALCOY;03;RESTO DE TUBERCULOSIS;M;MUJER;80 - 84;0
2007;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;> 84;3
2007;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;0;0
2007;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;01 - 04;0
2007;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;05 - 09;0
2007;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;10 - 14;0
2007;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;15 - 19;0
2007;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;20 - 24;0
2007;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;25 - 29;0
2007;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;30 - 34;0
2007;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;35 - 39;0
2007;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;40 - 44;0
2007;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;45 - 49;0
2007;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;50 - 54;0
2007;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;55 - 59 ;0
2007;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;60 - 64;0
2007;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;65 - 69;0
2007;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;70 - 74;1
2007;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;75 - 79;1
2007;03;ALICANTE;009;ALCOY;05;SEPTICEMIA;M;MUJER;80 - 84;1
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;H;HOMBRE;> 84;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;H;HOMBRE;0;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;H;HOMBRE;01 - 04;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;H;HOMBRE;05 - 09;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;H;HOMBRE;10 - 14;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;H;HOMBRE;15 - 19;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;H;HOMBRE;20 - 24;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;H;HOMBRE;25 - 29;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;H;HOMBRE;30 - 34;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;H;HOMBRE;35 - 39;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;H;HOMBRE;40 - 44;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;H;HOMBRE;45 - 49;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;H;HOMBRE;50 - 54;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;H;HOMBRE;55 - 59 ;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;H;HOMBRE;60 - 64;1
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;H;HOMBRE;65 - 69;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;H;HOMBRE;70 - 74;2
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;H;HOMBRE;75 - 79;1
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;H;HOMBRE;80 - 84;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;M;MUJER;> 84;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;M;MUJER;0;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;M;MUJER;01 - 04;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;M;MUJER;05 - 09;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;M;MUJER;10 - 14;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;M;MUJER;15 - 19;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;M;MUJER;20 - 24;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;M;MUJER;25 - 29;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;M;MUJER;30 - 34;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;M;MUJER;35 - 39;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;M;MUJER;40 - 44;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;M;MUJER;45 - 49;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;M;MUJER;50 - 54;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;M;MUJER;55 - 59 ;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;M;MUJER;60 - 64;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;M;MUJER;65 - 69;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;M;MUJER;70 - 74;0
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;M;MUJER;75 - 79;1
2007;03;ALICANTE;009;ALCOY;09;HEPATITIS VIRAL;M;MUJER;80 - 84;1
2007;03;ALICANTE;009;ALCOY;11;RESTO DE ENFERMEDADES INFECCIOSAS VÍRICAS;H;HOMBRE;> 84;0
2007;03;ALICANTE;009;ALCOY;11;RESTO DE ENFERMEDADES INFECCIOSAS VÍRICAS;H;HOMBRE;0;0
2007;03;ALICANTE;009;ALCOY;11;RESTO DE ENFERMEDADES INFECCIOSAS VÍRICAS;H;HOMBRE;01 - 04;0
2007;03;ALICANTE;009;ALCOY;11;RESTO DE ENFERMEDADES INFECCIOSAS VÍRICAS;H;HOMBRE;05 - 09;0
2007;03;ALICANTE;009;ALCOY;11;RESTO DE ENFERMEDADES INFECCIOSAS VÍRICAS;H;HOMBRE;10 - 14;0
2007;03;ALICANTE;009;ALCOY;11;RESTO DE ENFERMEDADES INFECCIOSAS VÍRICAS;H;HOMBRE;15 - 19;0
2007;03;ALICANTE;009;ALCOY;11;RESTO DE ENFERMEDADES INFECCIOSAS VÍRICAS;H;HOMBRE;20 - 24;0
